#;Name;Price;1h %;24h %;7d %;Market Cap;Volume(24h);Circulating Supply;Last 7 Days
67;FourFORMBuy;$2.65;0.62%;1.82%;4.71%;$1.01B$1,013,119,799;$12,144,2264.58M FORM;381.86MFORM;
68;OptimismOPBuy;$0.5911;0.95%;1.78%;5.83%;$1.01B$1,013,762,058;$244,328,145415.30M OP;1.71BOP;
69;XDC NetworkXDCBuy;$0.05990;0.07%;1.00%;1.08%;$971.61M$971,605,447;$23,914,335399.34M XDC;16.21BXDC;
70;PayPal USDPYUSDBuy;$0.9999;0.00%;0.01%;0.07%;$967.61M$967,614,170;$28,891,96728.89M PYUSD;967.61MPYUSD;
71;SonicSBuy;$0.3350;0.92%;2.02%;11.56%;$964.98M$964,982,077;$76,165,074228.67M S;2.88BS;
72;StacksSTXBuy;$0.6235;0.92%;1.38%;4.60%;$954.1M$954,102,270;$24,635,02239.72M STX;1.53BSTX;
73;SeiSEIBuy;$0.1743;0.91%;1.42%;7.99%;$929.83M$929,832,166;$33,686,406194.23M SEI;5.33BSEI;
74;KaiaKAIABuy;$0.1462;1.09%;7.57%;36.42%;$883.94M$883,939,088;$69,952,413481.40M KAIA;6.04BKAIA;
75;Tether GoldXAUtBuy;$3,440.36;0.04%;0.25%;3.68%;$848.13M$848,132,794;$20,247,8215.88K XAUt;246.52KXAUt;
76;The GraphGRTBuy;$0.08648;0.86%;0.88%;5.46%;$851.89M$851,888,946;$25,578,248297.70M GRT;9.85BGRT;
77;ImmutableIMXBuy;$0.4556;0.92%;2.24%;13.55%;$850.42M$850,422,134;$24,010,22052.99M IMX;1.86BIMX;
78;PAX GoldPAXGBuy;$3,468.75;0.03%;0.49%;4.01%;$839.84M$839,840,823;$65,527,86918.89K PAXG;242.11KPAXG;
79;dogwifhatWIFBuy;$0.8336;1.38%;0.98%;3.01%;$832.7M$832,701,285;$225,898,773273.60M WIF;998.84MWIF;
80;VaultaABuy;$0.5248;0.78%;1.04%;11.22%;$824.79M$824,792,683;$29,425,36256.36M A;1.57BA;
81;ABABBuy;$0.01334;2.17%;11.34%;25.31%;$840.75M$840,747,418;$361,304,34527.93B AB;63.01BAB;
82;Curve DAO TokenCRVBuy;$0.5876;1.12%;4.90%;10.54%;$794.23M$794,229,191;$92,472,008158.44M CRV;1.35BCRV;
83;NexoNEXOBuy;$1.20;0.13%;0.93%;2.82%;$780.98M$780,982,146;$5,629,0714.67M NEXO;646.14MNEXO;
84;PancakeSwapCAKEBuy;$2.36;1.85%;2.98%;1.59%;$761.39M$761,393,260;$58,838,96124.99M CAKE;321.61MCAKE;
85;DeXeDEXEBuy;$8.83;0.58%;0.94%;15.74%;$739.67M$739,670,964;$12,657,6191.43M DEXE;83.73MDEXE;
86;FLOKIFLOKIBuy;$0.00007720;0.75%;2.57%;6.99%;$743.11M$743,107,498;$56,676,974738.65B FLOKI;9.62TFLOKI;
87;ZcashZECBuy;$44.27;0.36%;3.55%;11.34%;$738.6M$738,599,429;$70,243,1501.58M ZEC;16.68MZEC;
88;Ethereum Name ServiceENSBuy;$19.94;1.26%;1.05%;3.96%;$727.66M$727,656,697;$54,352,8932.73M ENS;36.47MENS;
89;Lido DAOLDOBuy;$0.7944;1.16%;2.26%;3.11%;$712.75M$712,746,428;$61,546,54277.78M LDO;897.14MLDO;
90;Theta NetworkTHETABuy;$0.6946;0.89%;2.10%;9.50%;$694.66M$694,655,801;$19,611,16228.37M THETA;1BTHETA;
